Sample,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,longitude,latitude,block,samplecomp,Sc,V,Cr,Mn,Co,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,Ta,W,Th,U
B-184,75.2,12.8,1.51,0.14,0.87,2.57,5.78,0.13,0.06,0.03,-116.5836,34.1961,SanBernardino,b-184,3.96,7.67,17.16,0.04,0.87,0.97,27.55,18.41,223,154.73,18.5,116.95,14.94,2.05,2.05,836.25,26.95,56.98,6.38,23.17,5.35,1.07,3.76,0.53,3.74,0.77,2.02,0.36,1.81,3.63,1.12,0.23,15.03,1.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-185,68.4,15,3.07,0.96,2.61,3.47,3.94,0.49,0.18,0.05,-116.5629,34.2128,SanBernardino,b-185,4.36,51.48,29.04,0.08,7.25,10.39,19.88,47.5,153,528.97,12.95,200.36,16.08,2.58,1.64,1330.81,47.54,93.09,10.87,37.23,6.51,1.84,4.36,0.63,3.06,0.69,1.56,0.48,1.65,5.35,1.77,0.37,17.13,3.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-186,71.3,14.7,2.4,0.76,2.07,3.59,3.67,0.31,0.14,0.05,-116.6254,34.1861,SanBernardino,b-186,5.9,39.23,26.23,0.07,5.07,0.46,14.63,53,162,348.37,12.46,101.86,15.58,1.75,1.36,717.24,24.56,50.73,5.83,20.18,4.53,1.49,3.17,0.55,2.79,0.5,1.61,0.21,1.57,3.33,1.51,0.51,13.05,2.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-187,71.7,14.7,2.1,0.56,2.1,3.46,4.02,0.25,0.1,0.04,-116.627,34.1676,SanBernardino,b-187,5,24.23,12.2,0.06,4.07,3.47,21.14,51.44,133,421.17,14.04,136.94,10.5,1.49,1.16,903.59,23.24,49.12,4.99,17.6,3.48,0.82,2.45,0.38,2.43,0.48,1.44,0.24,1.39,3.78,0.79,0.15,17.1,1.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-188,71.4,14.4,2.53,0.66,1.99,3.13,4.36,0.29,0.13,0.05,-116.6298,34.1519,SanBernardino,b-188,5.95,34.74,12.86,0.08,5.28,4.23,16.98,45.3,175,330.57,23.49,192.98,14.63,1.31,1.66,863.52,43.92,87.9,9.16,31.37,5.69,1.05,4.33,0.74,3.55,0.8,2.2,0.34,2.18,4.7,1.07,0.35,23.67,2.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-189,74.4,14.1,1.03,0.14,1,3.58,4.48,0.11,0.08,0.03,-116.5772,34.1638,SanBernardino,b-189,6,6.54,34.4,0.06,0.89,1.65,23.15,19.9,188,158.62,25.26,78.12,20.94,1.75,2.17,415.26,16.89,39.28,4.37,15.75,3.9,0.7,3.19,0.53,4.09,0.92,2.78,0.45,3.6,2.56,1.74,1.09,12.5,3.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-190,73,14.6,1.48,0.26,1.79,3.61,3.9,0.22,0.09,0.03,-116.5952,34.1805,SanBernardino,b-190,3.48,9.83,20.2,0.04,2.14,3.9,24.99,43.21,146,438.49,11.42,128.51,10.84,2.86,2.08,1051.63,28.79,54.03,6,20.06,3.31,0.92,2.51,0.47,2,0.35,1.3,0.25,1.08,3.08,0.81,1.08,16.49,1.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-192,72.4,14.4,1.51,0.29,1.56,3.59,3.96,0.17,0.08,0.04,-116.5316,34.1578,SanBernardino,b-192,3.19,10.69,27.36,0.07,2.45,2.38,21.79,45.47,169,374.56,23.98,104.06,16.51,2.58,2.26,901.82,26.3,49.95,5.69,18.5,4.23,0.85,2.91,0.64,3.46,0.74,2.41,0.38,2.46,2.67,1.54,0.62,14.54,2.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-193,73.2,14.3,1.43,0.27,1.41,3.51,4.1,0.16,0.07,0.04,-116.5095,34.1523,SanBernardino,b-193,2.81,6.85,19.15,0.07,1.73,3.02,14.89,40.95,199,325.63,15.98,105.75,21.8,1.51,2.87,781.15,30.96,54.21,6.28,22.49,4.44,0.62,3.02,0.57,2.96,0.61,1.69,0.35,1.65,2.83,1.71,0.44,17.79,2.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-194,69.9,15.2,2.83,0.85,2.48,3.62,3.62,0.34,0.14,0.06,-116.594,34.1217,SanBernardino,b-194,4.31,39.73,21.41,0.09,7.09,3.15,25.95,46.03,147,408.24,13.99,118.87,12.74,1.49,1.53,808.27,30.28,59.24,6.8,25.21,5.21,1.17,3.63,0.48,2.8,0.54,1.48,0.26,1.38,2.95,0.82,0.34,13.67,2.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-195,73.9,13.9,1.38,0.22,1.44,3.35,4.35,0.14,0.07,0.03,-116.56,34.1556,SanBernardino,b-195,3.91,12.4,20.76,0.05,2.77,3.6,13.63,30.94,140,338.09,10.17,102.08,9.21,3.76,1.95,1136.03,25.12,49.41,6,20.22,4.3,1.35,2.8,1.11,2.71,1.34,1.67,0.76,1.65,3.54,1.34,1.16,14.56,1.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-196,68,15.7,3.22,1.02,2.77,3.65,3.75,0.44,0.18,0.06,-116.56,34.1291,SanBernardino,b-196,5.93,43.73,17.56,0.09,6.74,6.67,29.88,74.35,195,484.44,12.8,183.89,16.33,1.59,2.74,919.82,42.27,80.97,8.46,31.6,5.26,1.15,3.59,0.57,2.52,0.5,1.42,0.29,1.35,4.76,1.28,0.3,20.66,2.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-197,73.6,14.1,1.34,0.27,1.54,3.29,4.45,0.17,0.08,0.02,-116.5261,34.1245,SanBernardino,b-197,0,18.31,16.75,0.04,2.36,5.55,22.27,44.01,223,399.45,14.42,104.14,13.31,2.1,2.19,1400.69,26.79,58.43,5.57,24.63,3.29,0.95,2.59,0.54,3,0.58,1.85,0.46,2.33,3.02,1.45,1.32,15.48,2.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-198,73,14.3,1.5,0.37,1.81,3.5,4.17,0.18,0.11,0.03,-116.2975,34.1041,LittleSanBernardino,b-198,6.64,15.1,16.09,0.05,2.19,23.36,4.38,40.87,153,436.82,12.55,92.66,10.16,1.23,1.9,1570.91,35.37,64.18,7,23.98,4.77,0.91,3.22,0.47,2.6,0.54,1.92,0.29,1.65,2.8,0.82,0.29,14.48,1.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-199,72.2,14.6,1.86,0.37,1.98,3.81,3.7,0.22,0.1,0.05,-116.2157,34.1136,LittleSanBernardino,b-199,5.67,14.19,16.63,0.07,2.93,22.35,5.36,52.66,162,484.56,19.34,142.79,15.68,1.73,2.75,1150.59,25.47,49.79,5.5,20.04,4.35,1.27,3.54,0.61,3.32,0.62,2.79,0.33,2.87,4.68,1.49,0.39,11.91,1.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-200,68.2,16.1,2.29,0.37,2.37,4.76,4.1,0.23,0.11,0.08,-116.1126,34.1205,LittleSanBernardino,b-200,4.77,51.59,20.31,0.11,3.47,16.32,4.71,35.8,133,1203.44,20.62,117.19,13.19,2.74,2.44,1224.17,38,75.11,8.68,32.91,5.73,1.79,4.95,0.56,4.14,0.83,1.93,0.53,2.87,3.88,0.76,0.17,16.68,4.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-201,69.4,15,2.89,0.8,2.32,3.58,4.12,0.48,0.18,0.05,-116.2473,34.0721,LittleSanBernardino,b-201,5.76,47.18,23.26,0.06,6.02,4.97,14.8,57.47,175,537.24,13.16,181.64,16.34,2.76,1.92,1443.58,47.28,96.41,10.04,35.5,7.01,1.39,4.24,0.46,3.04,0.58,1.36,0.34,1.69,4.95,1.57,0.28,16.28,2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-202,73.2,14,1.76,0.36,1.46,3.49,4.58,0.2,0.16,0.05,-116.1634,34.0706,LittleSanBernardino,b-202,5.55,19.27,14.83,0.07,2.69,34.56,4.57,38.36,188,213.09,17.48,138.48,17.65,1.96,1.91,715.11,41.45,78.46,8.35,30.61,5.53,0.94,4.2,0.5,3.63,0.79,2.08,0.37,1.94,4.88,1.68,0.35,27.93,2.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-203,72.4,15.1,1.34,0.17,0.73,4.51,4.39,0.12,0.1,0.15,-116.0573,34.0713,LittleSanBernardino,b-203,5.65,20.64,17.39,0.21,1.17,10.61,2.94,16.55,146,539.65,21.7,83.96,46.62,1.84,1.33,540.89,11.19,25.88,3.56,14.5,4.42,0.47,3.64,0.77,4.25,0.75,1.97,0.37,2.41,2.96,3.97,0.55,11.34,1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-205,69.3,15,2.8,0.62,1.94,3.05,5.31,0.48,0.16,0.04,-116.23,34.03,LittleSanBernardino,b-205,4.36,34.01,14.37,0.05,4.31,13.57,16.18,65.75,169,475.4,10.41,343.66,11.09,1.4,1.09,1802.74,83.01,146.76,15.09,49.3,6.92,1.38,3.88,0.54,2.22,0.45,1.17,0.17,1.14,8.34,0.58,0.39,27.3,1.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-206,72.2,13.9,2.15,0.17,0.68,3.53,6.03,0.27,0.09,0.05,-116.1103,34.0385,LittleSanBernardino,b-206,12.53,29.07,18.54,0.08,0.47,26.26,10.88,25.5,199,107.57,22.4,294.21,15.68,2.48,0.52,407.18,20.89,41.51,5.06,20.24,4.64,1.11,4.44,0.55,3.61,0.69,2.08,0.25,2.13,7.27,0.77,0.31,12.88,1.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-207,72.7,14.3,1.58,0.38,1.53,3.77,4.32,0.2,0.1,0.06,-116.26,33.97,LittleSanBernardino,b-207,4.17,15.13,14.52,0.07,2.28,23.99,1.7,24.29,147,209.74,17.41,94.9,16.86,1.25,1.54,703.75,25.7,56.15,6.29,21.1,5.07,1.04,3.72,0.64,3.76,0.6,2.13,0.26,2.2,3.51,1.57,0.21,19.91,2.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-208,73.6,13.4,2.34,0.39,0.85,3.8,4.41,0.37,0.12,0.04,-116.16,34.01,LittleSanBernardino,b-208,5.22,22.46,26.07,0.06,4.22,17.01,14.4,21.06,116,143,27.91,216.25,23.22,3.2,1.3,572.09,80.02,201.71,21.04,66.81,12.41,2.73,9.52,2.28,7.66,2.72,5.13,2.1,4.88,7.38,2.72,4.16,31.01,4.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-209,68.8,14.9,3.17,1.35,3.07,3.34,3.68,0.4,0.16,0.07,-116.18,33.96,LittleSanBernardino,b-209,4.63,53.32,25.03,0.08,8.29,15.08,4.73,39.15,117,428.2,12.08,98.3,12.78,1.11,1.09,1007.78,26.92,59.19,6.68,24.3,5.08,1.15,3.72,0.55,3,0.57,1.6,0.3,1.69,3.66,1.38,0.11,16.01,3.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-210,65.8,16.1,4.08,1.42,3.86,3.58,3.07,0.5,0.24,0.08,-116.28,33.93,LittleSanBernardino,b-210,6.76,59.37,19.77,0.1,6.63,12.03,5.72,48.77,120,521.14,24.74,142.37,10.23,1.19,1.25,864.07,39.48,85.82,9.46,35.15,6.68,1.54,5.47,0.98,5.25,1.06,3.01,0.45,3.06,4.39,1.02,0.18,15.11,2.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-211,70.2,15.3,2.36,0.58,2.64,3.99,3.18,0.3,0.11,0.05,-116.23,33.89,LittleSanBernardino,b-211,2.24,14.61,18.33,0.06,3.14,10.07,5.14,49.65,113,586.02,12.06,159.63,9.77,1.88,1.27,1598.67,37.79,84.86,10.47,27.08,4.65,1.57,2.97,0.61,2.98,0.67,2.04,0.36,1.47,4.65,1.08,0.21,15.19,2.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-212,69.4,15.6,2.61,0.68,2.71,4.03,3.1,0.37,0.14,0.04,-116.19,33.86,LittleSanBernardino,b-212,1.05,29.11,15.86,0.05,4.38,11.2,5.49,52.59,90.3,642.45,9.48,170.69,9.45,1.79,1.25,1605.26,41.2,83.1,9.09,30.78,5.59,0.72,3.44,0.56,2.37,0.38,1.17,0.1,1.03,5.08,0.75,0.12,11.56,1.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-213,61.2,16.8,6.14,2.51,4.91,3.27,2.49,0.76,0.22,0.1,-116.14,33.83,LittleSanBernardino,b-213,13.11,101.29,22.28,0.13,14.11,11.04,9.25,72.09,88.9,502.89,19.07,186.01,8.04,1.14,0.53,629.89,29.14,57.03,6.97,25.84,4.84,1.22,3.58,0.59,3.26,0.61,1.66,0.29,1.29,4.19,0.49,0.14,8.88,0.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-214,58.7,17.1,6.77,3,5.72,3.63,2.08,0.95,0.29,0.1,-116.18,33.78,LittleSanBernardino,b-214,11.84,116.57,35.93,0.12,20.11,17.42,16.14,98.91,70.5,712.31,19.9,166.55,11.56,1.46,0.69,864.91,33.51,71.98,8.89,31.92,6.17,1.43,4.38,0.69,3.3,0.63,1.75,0.31,1.43,3.81,0.61,0.2,7.12,0.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-215,74.8,13.7,1.13,0.18,0.89,3.64,4.74,0.11,0.06,0.05,-116.08,33.79,LittleSanBernardino,b-215,5.6,7.09,18.39,0.08,1.35,25.18,6.11,24.62,254,139.61,23.86,66.01,22.76,1.62,1.63,331.11,15.4,31.51,3.51,11.44,3.43,0.41,2.98,0.53,3.65,0.77,2.32,0.35,2.43,3,2.67,0.63,19.31,4.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-216,63.7,16.1,5.13,2.13,4.38,3.44,2.93,0.62,0.21,0.09,-115.96,33.85,LittleSanBernardino,b-216,10.75,79.69,27.06,0.13,14.91,14.15,10.51,61.59,101,551.94,18.07,219.28,11.27,1.89,0.74,991.09,38.82,78.3,8.45,29.7,5.03,1.19,3.48,0.64,3.19,0.62,1.83,0.27,1.56,5.17,0.98,0.25,11.94,1.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-217,71.4,14.1,2.62,0.29,1.58,3.67,4.82,0.28,0.1,0.05,-115.96,33.74,LittleSanBernardino,b-217,6.55,13.15,16.89,0.07,2.38,16.55,3.99,36.99,130,121.06,33.52,264.32,16.87,2.43,0.68,581.65,84.43,191.7,20.15,70.5,10.84,1.17,7.48,1.17,6.18,1.1,3.45,0.52,3.36,7.21,0.98,0.39,22.93,1.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-218,65.1,16.4,3.98,1.34,2.98,3.98,3.78,0.58,0.28,0.09,-116.02,33.76,LittleSanBernardino,b-218,6.58,51.36,15.87,0.11,8.05,18.16,9.51,64.53,82,665.68,21.05,282.79,18.3,1.5,0.88,1757.51,87.16,155.02,15.81,48.54,7.35,1.74,4.88,0.7,3.83,0.89,2.24,0.32,2.42,6.55,0.86,0.27,22.67,2.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-219,67.7,15.6,3.48,1.1,2.39,3.71,3.64,0.49,0.2,0.06,-115.98,33.7,LittleSanBernardino,b-219,4.17,39.92,18.17,0.06,6.17,10.48,10.77,48.06,76.8,547.22,15.9,289.7,15.58,1.96,0.91,1693.26,80.78,141.51,14.79,46.05,7.36,1.53,4.99,0.67,3.72,0.75,1.94,0.29,1.89,7.13,0.58,0.54,26.18,1.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-220,70.8,15.1,2.11,0.5,1.67,3.78,4.58,0.27,0.12,0.04,-116.08,33.7,LittleSanBernardino,b-220,1.89,19.57,16.03,0.05,2.89,13.37,11.2,39.2,141,382.36,16.37,124.56,16.37,1.71,1.46,1304.72,33.01,63.34,7.07,26.11,4.91,1.11,3.19,0.51,3.28,0.7,1.96,0.31,2.02,3.51,2.03,0.24,13.28,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-221,64,15.9,4.76,1.92,3.36,3.49,3.33,0.64,0.21,0.07,-116.12,33.74,LittleSanBernardino,b-221,7.36,80.3,25.22,0.09,11.02,15.71,16.47,67.75,131,606.42,19.91,195.12,15.32,2.25,1.48,1173.87,54.22,98.2,10.11,34.21,5.92,1.28,4.25,0.62,3.41,0.65,2.09,0.43,1.7,4.99,1.62,0.4,21.86,3.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-222,62.9,15.8,5.98,1.98,4.74,3.25,2.9,0.84,0.29,0.11,-116.08,34,LittleSanBernardino,b-222,16.95,90.5,34.02,0.12,13.28,16.09,23.87,69.19,106,379.71,48.78,314.82,14.68,2.25,1.45,815.57,50.14,108.27,13.14,52.52,11.05,2.24,9.12,1.43,8.57,1.71,5.4,0.79,5.12,8.28,0.83,0.59,15.63,2.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B223,65.7,16.9,3.69,1.17,4.53,4.2,1.66,0.64,0.2,0.05,-116.9377,33.8683,SanJacinto,b-223,5.55,41.73,9.74,0.06,5.26,1.82,22.71,58.43,53.6,595.28,9.21,158.97,7.16,1.56,2.05,865.89,17.93,36.96,4.84,18.8,4.08,1.45,2.94,0.59,2,0.59,1.18,0.2,0.89,4.34,0.76,0.24,4.87,1.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B224,70.7,14.7,2.52,0.6,2.51,3.32,3.59,0.43,0.14,0.04,-116.8986,33.8875,SanJacinto,b-224,5.02,18.15,5.51,0.05,4.05,0.46,11.42,55.19,104,400.28,14.48,174.95,10.02,1.86,2.34,1402.02,35.36,73.46,8.61,33.22,6.63,1.05,4.6,0.64,3.2,0.67,1.44,0.26,1.55,5.04,0.98,0.21,12.17,2.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B225,67.3,16.4,3.25,0.92,3.99,3.99,1.85,0.54,0.18,0.04,-116.8635,33.8868,SanJacinto,b-225,4.88,33.21,8.12,0.06,4.8,9.23,14.33,70.98,78.9,545.94,8.07,177.28,7.86,1.8,4.18,1027.06,42.61,94.05,10.88,37.44,5.84,1.64,3.8,0.86,2.55,0.72,1.26,0.33,1.1,5.47,0.78,0.64,11.85,3.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B226,64.3,16.9,4.73,1.53,4.36,3.17,2.29,0.97,0.29,0.06,-116.8311,33.8868,SanJacinto,b-226,10.86,51.93,10.06,0.07,7.66,1.55,12.5,66.75,95.8,517.54,24.29,237.53,14.07,0.84,2.41,725.87,29.93,65.91,8.06,33.88,8.24,1.77,6.87,1.08,5.67,1.09,2.97,0.41,2.1,6.87,1.21,0.36,12.47,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B227,63.1,15.7,5.6,2.29,4.3,3.1,3.2,0.88,0.28,0.08,-116.4034,33.6424,SanJacinto,b-227,10.63,94.63,28.36,0.1,14.55,11.55,28.67,79.1,112,490.34,16.56,228.82,10.66,1.48,2.13,1349.55,56.8,96.07,10.66,36.94,6.71,1.5,4.57,0.74,3.5,0.65,1.72,0.29,1.43,5.9,0.56,0.35,14.34,1.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B228,67.8,15.6,3.28,1.03,3.71,3.68,2.57,0.6,0.18,0.05,-116.8964,33.858,SanJacinto,b-228,4.95,40.77,9.46,0.06,6.66,2.15,12.3,60.82,87.6,443.04,11.12,238.79,7.81,2.05,2.7,821.5,27.92,56.14,6.74,24.92,5.36,1.31,3.56,0.67,2.64,0.59,1.31,0.22,1.16,6.5,0.89,0.29,11.66,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B229,63.8,17.4,4.02,1.38,5.14,3.99,1.62,0.9,0.23,0.06,-116.8975,33.8276,SanJacinto,b-229,6.64,61.91,8.9,0.07,6.99,3.23,10.54,67.64,50.2,682.65,16.95,142.73,11.89,1.96,1.65,1169.79,22.45,55.17,7.6,35.42,9.39,2.23,6.75,0.92,5.23,1,2.46,0.36,2.27,5.55,1.61,0.42,6.63,2.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B230,66.6,15.8,3.79,1.22,3.93,3.68,2.66,0.66,0.18,0.06,-116.8592,33.8381,SanJacinto,b-230,4.44,41.39,20.5,0.07,5.51,2.6,11.26,65.17,102,452.77,11.53,141.73,8.72,1.03,2.89,959.87,17.65,44.88,5.84,22.85,4.9,1.25,3.8,0.5,2.69,0.56,1.56,0.15,1.49,4.41,0.91,0.21,8.25,2.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B231,68.1,15.6,3.25,0.93,3.51,3.62,2.57,0.55,0.16,0.05,-116.8282,33.855,SanJacinto,b-231,4.89,35.43,19.03,0.06,5.73,2.58,32.19,55.95,79.6,492.69,13.85,210.53,7.97,2.13,2.13,1396.06,33.28,63.12,7.9,29.52,5.92,1.5,4.17,0.72,3.07,0.65,1.56,0.26,1.33,5.96,1,0.38,11.77,1.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B232,63.9,16.7,4.76,1.64,4.74,3.83,1.83,0.96,0.26,0.07,-116.7978,33.8883,SanJacinto,b-232,9.01,52.61,13.79,0.1,9.82,2.55,11.16,89.38,110,534.78,18.4,225.5,11.68,0.93,2.07,639.11,40.83,78.26,9.77,37.05,7.21,1.18,4.85,0.69,3.57,0.61,1.79,0.28,1.3,5.37,0.86,0.26,11.01,1.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B233,63.9,15.4,5.7,2.27,4.54,3.2,2.57,0.74,0.16,0.09,-116.7614,33.8892,SanJacinto,b-233,15.03,88.81,40.43,0.11,13.64,6.67,17.42,64.12,123,292.2,23.25,121.55,7.57,1.67,4.93,691.97,46.52,83.02,9.29,32.5,6.21,1.14,4.73,0.76,4.25,0.78,2.24,0.42,2.39,3.46,0.77,0.29,19.78,3.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B234,65.5,16.6,3.93,1.19,4.45,3.79,2.06,0.73,0.2,0.05,-116.7953,33.8592,SanJacinto,b-234,7.16,50.68,14.57,0.08,7.45,14.29,17.77,72.41,69.9,614.2,18.6,147.27,9.34,2.26,1.79,982.7,25.34,49.67,6.48,26.42,5.84,1.2,4.35,0.54,3.36,0.48,1.44,0.25,1.03,3.48,0.84,0.36,7.39,1.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B236,67.7,15.2,4,1.35,3.66,3.27,3.25,0.54,0.11,0.07,-116.8503,33.831,SanJacinto,b-236,9.89,56.49,21.77,0.09,11.85,5.85,16.78,65.24,132,269.03,21.83,141.41,8.08,1.86,2.99,717.65,28.55,56.41,6.6,24.17,5.41,0.89,4.37,0.69,3.62,0.6,2.09,0.28,1.7,3.77,0.74,0.26,15.98,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B237,65,16.8,4.03,1.24,4.61,3.88,2,0.76,0.21,0.05,-116.8613,33.7986,SanJacinto,b-237,5.48,44.38,8.19,0.07,8.54,2.53,12.93,71.45,68.1,613.33,13.51,152.76,8.34,2.05,1.68,1010.76,39.58,74.25,8.87,31.03,5.91,1.29,3.69,0.61,2.68,0.57,1.22,0.28,1.23,3.82,0.64,0.25,8.91,1.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B238,67,16,3.52,1.08,3.9,3.76,2.58,0.65,0.19,0.06,-116.826,33.7996,SanJacinto,b-238,3.86,44.37,12.27,0.07,5.65,1.52,8.77,52.08,89.2,477.44,13.99,142.22,10.29,1.99,2.79,815.58,24.84,61,7.13,28.89,5.63,1.3,3.86,0.72,2.83,0.81,1.26,0.41,1.59,4.26,1.15,0.48,8.78,2.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B239,65.4,16.6,3.82,1.18,4.51,3.81,2.12,0.75,0.23,0.06,-116.8254,33.7754,SanJacinto,b-239,11.97,53.05,7.05,0.07,6.63,1.82,6.69,73.68,76.2,560.44,13.75,171.21,8.67,1.51,1.68,748.92,21.49,50.53,6.1,25.77,4.68,1.02,3.53,0.45,2.7,0.49,1.19,0.2,1.03,3.93,0.74,0.17,6.37,1.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B240,66.9,16.3,3.48,1,3.9,3.9,2.23,0.59,0.19,0.05,-116.7947,33.8035,SanJacinto,b-240,5.23,41.36,6.98,0.07,6.3,2.23,8.5,65.85,73.6,540.3,11.59,170.19,7.49,1.86,2.5,1035.83,20.39,45.46,5.26,20.35,4.06,0.97,3.1,0.38,2.1,0.34,0.99,0.17,0.85,4.44,0.6,0.18,6.69,1.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B241,66.4,16.4,3.56,1.05,4.03,3.87,2.23,0.61,0.18,0.05,-116.7945,33.829,SanJacinto,b-241,9.59,39.11,12.14,0.07,6.62,16.28,12.8,40.1,81.8,519.54,14.82,151.99,8.58,1.77,2.27,1390.54,24.86,59.28,7.46,28.2,6.15,1.22,3.64,0.81,3.54,0.81,1.34,0.39,1.55,4.54,1.29,0.17,8.11,2.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
